Date,Open,High,Low,Close,Volume,Change,NC Soft: (대한민국),김택진: (대한민국),3N: (대한민국)
2021-01-04 00:00:00,949000.0,985000.0,935000.0,978000.0,151790.0,0.050483351235230955,NaN,NaN,NaN
2021-01-05 00:00:00,973000.0,993000.0,960000.0,985000.0,122865.0,0.007157464212679043,NaN,NaN,NaN
2021-01-06 00:00:00,991000.0,997000.0,950000.0,953000.0,169260.0,-0.03248730964467006,NaN,NaN,NaN
2021-01-07 00:00:00,962000.0,963000.0,939000.0,947000.0,118410.0,-0.006295907660020972,NaN,NaN,NaN
2021-01-08 00:00:00,956000.0,1000000.0,949000.0,995000.0,198693.0,0.05068637803590281,NaN,NaN,NaN
2021-01-11 00:00:00,993000.0,1006000.0,955000.0,978000.0,220317.0,-0.0170854271356784,NaN,NaN,NaN
2021-01-12 00:00:00,963000.0,969000.0,926000.0,947000.0,192743.0,-0.0316973415132924,NaN,NaN,NaN
2021-01-13 00:00:00,946000.0,955000.0,933000.0,940000.0,123066.0,-0.007391763463569179,NaN,NaN,NaN
2021-01-14 00:00:00,932000.0,946000.0,930000.0,939000.0,97237.0,-0.0010638297872340718,NaN,NaN,NaN
2021-01-15 00:00:00,946000.0,960000.0,933000.0,935000.0,110598.0,-0.004259850905218299,NaN,NaN,NaN
2021-01-18 00:00:00,935000.0,949000.0,927000.0,938000.0,100252.0,0.0032085561497325887,NaN,NaN,NaN
2021-01-19 00:00:00,949000.0,968000.0,944000.0,957000.0,100320.0,0.02025586353944564,NaN,NaN,NaN
2021-01-20 00:00:00,969000.0,969000.0,950000.0,965000.0,93411.0,0.008359456635318674,NaN,NaN,NaN
2021-01-21 00:00:00,961000.0,974000.0,959000.0,970000.0,68683.0,0.005181347150259086,NaN,NaN,NaN
2021-01-22 00:00:00,971000.0,1000000.0,963000.0,989000.0,135835.0,0.019587628865979312,NaN,NaN,NaN
2021-01-25 00:00:00,989000.0,996000.0,972000.0,995000.0,80768.0,0.006066734074823055,NaN,NaN,NaN
2021-01-26 00:00:00,992000.0,997000.0,950000.0,953000.0,127191.0,-0.042211055276381915,NaN,NaN,NaN
2021-01-27 00:00:00,963000.0,992000.0,962000.0,978000.0,108151.0,0.026232948583420734,NaN,NaN,NaN
2021-01-28 00:00:00,960000.0,985000.0,951000.0,968000.0,98895.0,-0.010224948875255602,NaN,NaN,NaN
2021-01-29 00:00:00,962000.0,967000.0,940000.0,953000.0,141061.0,-0.015495867768595017,NaN,NaN,NaN
2021-02-01 00:00:00,953000.0,953000.0,935000.0,953000.0,83021.0,0.0,NaN,NaN,NaN
2021-02-02 00:00:00,956000.0,995000.0,954000.0,984000.0,132535.0,0.03252885624344182,NaN,NaN,NaN
2021-02-03 00:00:00,1003000.0,1032000.0,997000.0,1008000.0,201313.0,0.024390243902439046,NaN,NaN,NaN
2021-02-04 00:00:00,1002000.0,1005000.0,958000.0,962000.0,138692.0,-0.045634920634920584,NaN,NaN,NaN
2021-02-05 00:00:00,970000.0,977000.0,959000.0,976000.0,74762.0,0.01455301455301461,NaN,NaN,NaN
2021-02-08 00:00:00,994000.0,1048000.0,991000.0,1038000.0,239999.0,0.06352459016393452,NaN,NaN,NaN
2021-02-09 00:00:00,1028000.0,1036000.0,1002000.0,1006000.0,135965.0,-0.030828516377649273,NaN,NaN,NaN
2021-02-10 00:00:00,1018000.0,1046000.0,993000.0,1027000.0,154288.0,0.020874751491053667,NaN,NaN,NaN
2021-02-15 00:00:00,1026000.0,1027000.0,993000.0,999000.0,111745.0,-0.027263875365141188,NaN,NaN,NaN
2021-02-16 00:00:00,1001000.0,1019000.0,993000.0,1015000.0,85534.0,0.0160160160160161,NaN,NaN,NaN
2021-02-17 00:00:00,993000.0,1005000.0,988000.0,999000.0,88009.0,-0.015763546798029604,NaN,NaN,NaN
2021-02-18 00:00:00,1005000.0,1009000.0,991000.0,995000.0,69587.0,-0.004004004004004025,NaN,NaN,NaN
2021-02-19 00:00:00,993000.0,1005000.0,975000.0,997000.0,82183.0,0.0020100502512563345,NaN,NaN,NaN
2021-02-22 00:00:00,993000.0,997000.0,929000.0,931000.0,216700.0,-0.06619859578736209,NaN,NaN,NaN
2021-02-23 00:00:00,934000.0,945000.0,927000.0,931000.0,127023.0,0.0,NaN,NaN,NaN
2021-02-24 00:00:00,941000.0,969000.0,930000.0,934000.0,161574.0,0.0032223415682062218,NaN,NaN,NaN
2021-02-25 00:00:00,963000.0,973000.0,951000.0,972000.0,95195.0,0.04068522483940051,NaN,NaN,NaN
2021-02-26 00:00:00,951000.0,964000.0,932000.0,936000.0,130379.0,-0.03703703703703709,NaN,NaN,NaN
2021-03-02 00:00:00,949000.0,980000.0,940000.0,946000.0,113384.0,0.010683760683760646,NaN,NaN,NaN
